type,strike,expiration,days_to_expiry,maturity_years,impliedVolatility,mid,volume,openInterest
call,6625.0,2026-03-23,20,0.0547945205479452,0.22970969882965087,259.85,1.0,2
put,6625.0,2026-03-23,20,0.0547945205479452,0.23054320184707644,71.05000000000001,35.0,103
put,6630.0,2026-03-23,20,0.0547945205479452,0.22970206951141353,72.1,6.0,20
put,6640.0,2026-03-23,20,0.0547945205479452,0.22775659336090087,74.25,6.0,16
call,6650.0,2026-03-23,20,0.0547945205479452,0.2210771252441406,240.35,2.0,3
put,6650.0,2026-03-23,20,0.0547945205479452,0.22586070777893066,76.44999999999999,23.0,256
put,6660.0,2026-03-23,20,0.0547945205479452,0.22383893844604486,78.65,16.0,41
put,6670.0,2026-03-23,20,0.0547945205479452,0.22185913036346433,80.94999999999999,9.0,14
put,6675.0,2026-03-23,20,0.0547945205479452,0.22090546558380125,82.15,9.0,147
put,6680.0,2026-03-23,20,0.0547945205479452,0.21992128353118895,83.35,2.0,39
put,6690.0,2026-03-23,20,0.0547945205479452,0.21784610897064205,85.75,21.0,160
call,6700.0,2026-03-23,20,0.0547945205479452,0.21159769733428951,202.3,1.0,10
put,6700.0,2026-03-23,20,0.0547945205479452,0.21596548202514648,88.3,94.0,206
put,6710.0,2026-03-23,20,0.0547945205479452,0.21378349700927735,90.85,31.0,12
put,6720.0,2026-03-23,20,0.0547945205479452,0.21178080097198487,93.5,28.0,25
call,6725.0,2026-03-23,20,0.0547945205479452,0.20653373735427852,183.95,1.0,4
put,6725.0,2026-03-23,20,0.0547945205479452,0.2108080628967285,94.9,10.0,109
put,6730.0,2026-03-23,20,0.0547945205479452,0.20963505521774287,96.25,29.0,24
call,6740.0,2026-03-23,20,0.0547945205479452,0.20359072784423826,173.2,24.0,1
put,6740.0,2026-03-23,20,0.0547945205479452,0.20749884611129757,99.0,27.0,258
call,6750.0,2026-03-23,20,0.0547945205479452,0.2014850360107422,166.10000000000002,20.0,5
put,6750.0,2026-03-23,20,0.0547945205479452,0.20536645166397094,101.9,79.0,141
call,6760.0,2026-03-23,20,0.0547945205479452,0.19937552951812743,159.10000000000002,2.0,5
